Climate Cards
Name,habitat(s),Victory points,ability

Arid,Sunny|Rocky,1,RED:draw two if you chose the RED action
Desert,Sunny|Rocky,3,YELLOW: -1 Trunk then +2 SOIL
Tropical Rain Forest,Sunny|Wet,1,BLUE:+2 Cards if you choose the BLUE Action
Marine West Cost,Wet|Cold,1,BLUE: -1 SPROUTS then +3 TRUNKS
Boreal,Wet|Cold,2,BLUE:COMPOST 1 then +1 SOIL
Subtropical Highland,Rocky|Cold,2,YELLOW:-1 card from COMPOST then +2 cards to hand
Dry Winter Subpolar Oceanic,Wet|Cold,1,YELLOW:+2 COMPOST then +1 Trunk
Tropical Monsoon,Sunny|Wet,4,BLUE:+2 Trunk if you choose the BLUE action
Mediterrainean Hot Summer,Sunny|Wet,2,YELLOW:+2 SOIL if you choose the YELLOW action
Tropical Savanna,Sunny|Wet,1,+1 COMPOST then +3 SPROUTS if you choose the YELLOW action
Humid Subtropical,Sunny|Wet,4,BLUE:+1 COMPOST from hand then +1 SPROUTS
Hot Summer Continental,Wet|Cold,2,RED:+2 SOIL if you chose the RED action
Dry Winter Subtropical,Rocky|Cold,4,RED:-1 COMPOST then +2 SOIL
Mediterranean Cold Summer,Sunny|Cold,4,YELLOW:+1 COMPOST +1 Trunk
Ice Cap,Rocky|Cold,3,RED:-1 TRUNKS then +2 SOIL
Oceanic,Sunny|Wet,3,BLUE:-1 TRUNKS then +2 SOIL
Semi-Arid,Sunny|Rocky,4,RED:+2 TRUNKS if you choose the RED action
Tundra,Rocky|Cold,1,RED:-1 COMPOST then +3 SPROUTS
Subpolar Oceanic,Rocky|Cold,3,RED:+1 SPROUTS BLUE:-1 SPROUTS then +3 COMPOST
Hemiboreal,Rocky|Cold,4,YELLOW:+1 SOIL
